"person_id","household_id","year_born","sex","employed","retired","education","net_income","gross_income"
11802,118,1954,2,0,0,100,0,0
11901,119,1941,2,0,1,100,0,0
12001,120,1957,1,0,1,100,0,0
12002,120,1966,2,1,0,100,2098.2,2243.7
12101,121,1943,1,0,1,200,0,0
12102,121,1945,2,0,0,0,0,0
12201,122,1957,2,0,1,200,0,0
12301,123,1971,1,0,0,0,3510.8,3870.9
12302,123,1988,2,0,0,344,6487.6,7418.7
12303,123,2009,2,0,0,NA,NA,NA
12304,123,2010,2,0,0,NA,NA,NA
12305,123,2018,1,0,0,NA,NA,NA
12501,125,1976,1,1,0,500,0,0
12502,125,1971,2,0,0,200,0,0
12503,125,2016,1,0,0,NA,NA,NA
12601,126,1932,2,0,0,0,0,0
12602,126,1985,1,1,0,200,6947.1,7498.1
12701,127,1964,1,1,0,300,9769.6,14087.2
12702,127,1965,2,1,0,300,8824.7,12678.5
12703,127,1995,2,0,0,344,0,0
12801,128,1966,1,1,0,200,15727.5,19029.1
12802,128,1966,2,1,0,200,2100.3,2242.7
12901,129,1948,1,0,1,100,0,0
13001,130,1943,1,0,1,300,0,0
13002,130,1969,1,0,0,200,0,0
13101,131,1941,2,0,0,100,0,0
13102,131,1937,1,0,1,500,0,0
13201,132,1979,2,1,0,500,42115.8,57610.7
13202,132,1976,1,1,0,300,19239.4,22644.2
13203,132,2008,1,0,0,NA,NA,NA
13204,132,2010,2,0,0,NA,NA,NA
13301,133,1979,1,1,0,200,11898.8,12720.6
13401,134,1977,1,1,0,200,12936.8,14147.1
13402,134,1982,2,1,0,200,8304.1,9060.6
13403,134,2014,2,0,0,NA,NA,NA
13601,136,1973,1,1,0,200,12863,14254.3
13602,136,1980,2,0,0,300,5218.48,5641.88
13603,136,2010,1,0,0,NA,NA,NA
13604,136,2016,2,0,0,NA,NA,NA
13701,137,1943,1,0,1,0,0,0
13702,137,1944,2,0,1,200,0,0
13801,138,1967,2,0,0,500,7837.1,8550.5
14001,140,1977,2,0,0,500,9825.6,10715.8
14002,140,1976,1,1,0,500,18761,22650.1
14003,140,2007,2,0,0,NA,NA,NA
14101,141,1967,1,0,0,200,0,0
14102,141,1969,2,0,0,200,0,0
14103,141,1998,2,0,0,344,0,0
14104,141,2005,1,0,0,NA,NA,NA
14201,142,1969,1,1,0,200,1377.1,1471.2
14301,143,1971,2,1,0,200,17070.6,19078.9
14302,143,1943,2,0,0,100,0,0
14303,143,1964,1,1,0,200,10655.7,11535.4
14401,144,1985,1,1,0,100,14061.4,16013.7
14402,144,1981,2,1,0,200,11288.6,12321.2
14403,144,2013,1,0,0,NA,NA,NA
14404,144,2018,2,0,0,NA,NA,NA
14405,144,2018,2,0,0,NA,NA,NA
14501,145,1934,1,0,1,300,0,0
14502,145,1939,2,0,1,100,0,0
14601,146,1982,2,1,0,500,0,0
14701,147,1989,1,1,0,500,8149.1,8706.6
14702,147,1963,1,1,0,100,15951.2,18769.8
14703,147,1964,2,0,0,100,0,0
14704,147,1994,2,1,0,200,11184.4,12201.8
14801,148,1934,1,0,1,0,0,0
14802,148,1941,2,0,0,0,0,0
14901,149,1958,1,0,0,200,0,0
14902,149,1961,2,1,0,300,9148.4,9768.7
15001,150,1976,1,1,0,300,15946,17590.7
15002,150,1976,2,0,0,300,159.3,173.9
15003,150,2000,2,0,0,200,0,0
15004,150,2009,1,0,0,NA,NA,NA
15101,151,1979,2,1,0,500,13473.1,15944.2
15102,151,1984,1,1,0,344,0,0
15201,152,1970,1,1,0,200,17853,20084.4
15202,152,1971,2,1,0,500,19575.6,23461
15203,152,2000,2,0,0,344,0,0
15204,152,2003,1,0,0,NA,NA,NA
15301,153,1960,1,1,0,100,0,0
15302,153,1964,2,1,0,500,2040.1,2215.4
15303,153,1999,2,0,0,354,0,0
15401,154,1983,1,0,0,100,0,0
15402,154,1984,2,1,0,100,1564,1702.6
15403,154,2002,2,0,0,NA,NA,NA
15404,154,2005,1,0,0,NA,NA,NA
15501,155,1976,1,1,0,500,14014.1,15932.5
15502,155,1977,2,1,0,500,12322.1,13157.6
15503,155,2010,2,0,0,NA,NA,NA
15504,155,2014,1,0,0,NA,NA,NA
15601,156,1962,2,1,0,300,8291,8291
15602,156,1960,1,1,0,200,8291,8291
15603,156,1996,1,0,0,344,6165.1,6741.2
15701,157,1970,2,0,0,200,1493.5,1640.4
15702,157,1964,2,0,0,200,266.9,291.4
15703,157,1988,1,0,0,200,6533.9,7108.9
15801,158,1978,2,1,0,500,0,0
15802,158,1976,1,0,0,500,8477.9,9356.1
15803,158,2012,2,0,0,NA,NA,NA
15901,159,1935,1,0,1,100,0,0
16001,160,1943,1,0,1,500,0,0
16101,161,1962,2,0,0,500,0,0
16102,161,1964,1,1,0,500,28924.1,38480.1
16103,161,2005,1,0,0,NA,NA,NA
16201,162,1971,2,1,0,500,13852.9,14792.2
16202,162,2002,2,0,0,NA,NA,NA
16203,162,2007,2,0,0,NA,NA,NA
16301,163,1959,1,1,0,200,41592.9,59303.1
16302,163,1961,2,1,0,300,14916.6,17615.1
16401,164,1939,2,0,1,300,0,0
16501,165,1944,1,0,1,200,0,0
16502,165,1945,2,0,0,200,0,0
16503,165,1976,2,0,0,300,0,0
16801,168,1975,2,1,0,500,15951.8,17531.4
16802,168,2002,1,0,0,NA,NA,NA
16803,168,2005,2,0,0,NA,NA,NA
16901,169,1935,1,0,1,200,0,0
16902,169,1998,1,0,0,200,0,0
17001,170,1976,1,0,0,200,10656.5,12370.8
17002,170,1978,2,1,0,300,13022.5,15239.4
17201,172,1960,1,1,0,200,0,0
17202,172,1975,2,1,0,300,13798.1,17249.8
17203,172,2006,1,0,0,NA,NA,NA
17301,173,1987,1,0,0,100,0,0
17302,173,1987,2,0,0,100,0,0
17303,173,2007,2,0,0,NA,NA,NA
17304,173,2009,2,0,0,NA,NA,NA
17305,173,2015,1,0,0,NA,NA,NA
17306,173,1960,2,0,0,0,0,0
17401,174,1956,1,1,0,100,4170.58,4504.54
17402,174,1962,2,0,0,100,0,0
17403,174,1981,1,0,0,100,5689,6206
17404,174,1984,2,0,0,100,0,0
17405,174,2005,1,0,0,NA,NA,NA
17501,175,1956,1,1,0,100,6388.7,7008.6
17502,175,1964,2,0,0,100,5968.4,6547.5
17503,175,1983,1,1,0,200,7229.4,7930.8
17504,175,1992,2,0,0,200,0,0
17505,175,1998,2,0,0,200,0,0
17506,175,1986,1,1,0,200,5790.7,6316.9
17507,175,2017,1,0,0,NA,NA,NA
17508,175,2017,1,0,0,NA,NA,NA
17509,175,2016,1,0,0,NA,NA,NA
17601,176,1965,2,0,0,0,85.3,93.1
17602,176,1968,1,1,0,300,0,0
17603,176,1994,1,0,0,344,0,0
17604,176,1999,1,0,0,344,0,0
17605,176,2003,2,0,0,NA,NA,NA
17606,176,2005,1,0,0,NA,NA,NA
17701,177,1989,1,0,0,200,0,0
